날짜,클릭수,노출,CTR,게재 순위
2026-01-20,0,0,,
2026-01-21,0,1,0%,103
2026-01-22,1,2,50%,4.5
2026-01-23,0,1,0%,31
2026-01-24,0,2,0%,8.5
2026-01-25,0,0,,
2026-01-26,0,0,,
2026-01-27,0,3,0%,4
2026-01-28,0,1,0%,2
2026-01-29,0,8,0%,28.1
2026-01-30,0,10,0%,20.9
2026-01-31,0,46,0%,10.7
2026-02-01,0,27,0%,17.7
2026-02-02,0,36,0%,8.8
2026-02-03,0,42,0%,18.7
